dog_breed,category,datadog_score,popularity_in_us,lifetime_cost_usd,intelligence_trainability_ranking,intelligence_trainability_percent,longevity_years,longevity_percent,num_genetic_ailments,genetic_ailments_percent,avg_purchase_price_us,avg_purchase_price_us_percent,food_costs_yearly_usd,food_costs_yearly_percent,grooming_required,grooming_required_percent,suitability_for_children_score,suitability_for_children_percent,ultimate top_dog_mega_score_kids,ultimate_top_data_dog_mega_ranking_no_kids,ultimate_top_data_dog_mega_ranking_kids,ultimate_top_dog_mega_score,popularity_rating,size_category,weight_kg,weight_lbs,shoulder_height_cm,shoulder_height_in,intelligence_category,repetitions_new_commands,obey_first_command_percent,longevity_sample_size,genetic_diseases_congenital,congenital_ailments_areas_affected,lifetime_cost_usd.1,lifetime_cost_percent,avg_purchase_price_usd,price_category,lowest_usd,highest_usd,avg_food_weekly_â£,min_gpb,max_gpb,food_weekly_usd,food_yearly_usd,food_lifetime_usd,other_costs_total_usd,total_yearly_usd,total_yearly_gbp,treats_enrichment_yearly_gpb,pet_sitters_yearly_gbp,grooming_yearly_gbp,vet_fees_yearly_gbp,startup_costs
Irish Water Spaniel,sporting,,150,20054.5,24,,9.33,,1,,no data,,,,2,,1,,,,,,,medium,25,55,57,22.5,Excellent,15-May,>85,95,hip problems,hip dysplasia,no data,,no data,no data,no data,no data,8.75,7.5,10,11.67,,5683,9759,1046,784,121,126,244,177,200
Japanese Chin,toy,,78,20054.5,62,,9.25,,0,,513,,,,-,,-,,,,,,,small,no data,no data,24,9.5,Fair,40-80,>30,38,none,none,no data,,513,budget,200,800,no data,no data,no data,no data,,no data,9675,1046,784,121,126,244,177,200
Keeshond,non-sporting,,98,20054.5,16,,12.17,,1,,610,,,,-,,-,,,,,,,medium,no data,no data,44,17.5,Excellent,15-May,>85,104,hip problems,hip dysplasia,no data,,610,budget,350,1000,no data,no data,no data,no data,,no data,12729,1046,784,121,126,244,177,200
Komondor,working,,166,20054.5,no data,,9.17,,1,,656,,,,-,,-,,,,,,,large,45,100,70,27.5,no data,no data,no data,10,hip problems,hip dysplasia,no data,,656,budget,500,850,no data,no data,no data,no data,,no data,9591,1046,784,121,126,244,177,200
Kuvasz,working,,148,20054.5,42,,9.73,,1,,no data,,,,-,,-,,,,,,,large,42,92.5,71,28,Average,25-40,>50,-,hip problems,hip dysplasia,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Lakeland Terrier,terrier,,135,20054.5,62,,11.84,,0,,1093,,,,2,,1,,,,,,,small,8,17,37,14.5,Fair,40-80,>30,-,none,none,no data,,1093,mid-price,575,1600,5.75,4,7.5,7.67,,no data,no data,1046,784,121,126,244,177,200
Leonberger,working,,103,15141.0,no data,,6.98,,no data,,1480,,,,2,,1,,,,,,,large,no data,no data,72,28.5,no data,no data,no data,125,no data,no data,13232,,1480,mid-price,700,1800,8.75,7.5,10,11.67,,4251,7301,1046,784,121,126,244,177,200
Lowchen,non-sporting,,152,20054.5,no data,,10.0,,0,,no data,,,,-,,-,,,,,,,small,no data,no data,33,13,no data,no data,no data,9,none,none,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,10459,1046,784,121,126,244,177,200
Manchester Terrier,terrier,,119,20054.5,32,,9.32,,0,,720,,,,-,,-,,,,,,,small,8,17,no data,no data,Above average,15-25,>70,142,none,none,no data,,720,mid-price,140,1500,no data,no data,no data,no data,,no data,9748,1046,784,121,126,244,177,200
Miniature Bull Terrier,terrier,,127,20054.5,no data,,6.6,,0,,1740,,,,-,,-,,,,,,,small,no data,no data,30,12,no data,no data,no data,73,none,none,no data,,1740,high-end,999,2800,no data,no data,no data,no data,,no data,6903,1046,784,121,126,244,177,200
Miniature Pinscher,toy,,42,20054.5,37,,11.84,,0,,535,,,,-,,-,,,,,,,small,no data,no data,29,11.25,Above average,15-25,>70,-,none,none,no data,,535,budget,300,900,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Neapolitan Mastiff,working,,110,20054.5,no data,,9.73,,1,,1760,,,,2,,1,,,,,,,large,59,130,70,27.5,no data,no data,no data,-,hip problems,hip dysplasia,no data,,1760,high-end,850,3500,15,15,15,20.01,,no data,no data,1046,784,121,126,244,177,200
Norwegian Buhund,herding,,165,20054.5,no data,,12.67,,no data,,no data,,,,-,,-,,,,,,,medium,15,33,44,17.25,no data,no data,no data,17,no data,no data,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,13252,1046,784,121,126,244,177,200
Norwegian Elkhound,hound,,96,20054.5,36,,11.13,,1,,448,,,,-,,-,,,,,,,medium,23,51.5,51,20,Above average,15-25,>70,-,hip problems,hip dysplasia,no data,,448,budget,350,500,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Norwegian Lundehund,non-sporting,,170,20054.5,no data,,11.84,,no data,,no data,,,,-,,-,,,,,,,small,no data,no data,34,13.5,no data,no data,no data,-,no data,no data,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Norwich Terrier,terrier,,89,20054.5,38,,11.84,,0,,1245,,,,2,,2,,,,,,,small,5,12,25,10,Above average,15-25,>70,-,none,none,no data,,1245,mid-price,750,2000,5.75,4,7.5,7.67,,no data,no data,1046,784,121,126,244,177,200
Nova Scotia Duck Tolling Retriever,sporting,,107,12653.0,no data,,6.5,,1,,1500,,,,2,,1,,,,,,,medium,no data,no data,48,19,no data,no data,no data,150,hip problems,hip dysplasia,11100,,1500,high-end,1500,1500,5.75,4,7.5,7.67,,2602,6799,1046,784,121,126,244,177,200
Otterhound,hound,,169,20054.5,46,,10.8,,1,,no data,,,,2,,1,,,,,,,large,44,97.5,65,25.5,Average,25-40,>50,41,hip problems,hip dysplasia,no data,,no data,no data,no data,no data,5.75,4,7.5,7.67,,4323,11296,1046,784,121,126,244,177,200
Parson Russell Terrier,terrier,,97,20054.5,no data,,11.84,,0,,528,,,,2,,2,,,,,,,small,7,15,34,13.5,no data,no data,no data,-,none,none,no data,,528,budget,150,850,5.75,4,7.5,7.67,,no data,no data,1046,784,121,126,244,177,200
Petit Basset Griffon Vendeen,hound,,131,20054.5,62,,12.7,,0,,400,,,,-,,-,,,,,,,small,no data,no data,36,14,Fair,40-80,>30,45,none,none,no data,,400,budget,250,700,no data,no data,no data,no data,,no data,13284,1046,784,121,126,244,177,200
Plott,hound,,145,20054.5,no data,,11.13,,0,,no data,,,,-,,-,,,,,,,medium,23,50,57,22.5,no data,no data,no data,-,none,none,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Polish Lowland Sheepdog,herding,,159,20054.5,no data,,10.8,,no data,,no data,,,,2,,2,,,,,,,medium,no data,no data,47,18.5,no data,no data,no data,30,no data,no data,no data,,no data,no data,no data,no data,5.75,4,7.5,7.67,,4323,11296,1046,784,121,126,244,177,200
Portuguese Water Dog,working,,56,20054.5,no data,,11.42,,0,,no data,,,,-,,-,,,,,,,medium,22,47.5,51,20,no data,no data,no data,6,none,none,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,11945,1046,784,121,126,244,177,200
Puli,herding,,156,20054.5,27,,11.13,,0,,913,,,,-,,-,,,,,,,medium,no data,no data,42,16.5,Above average,15-25,>70,-,none,none,no data,,913,mid-price,700,1000,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Pyrenean Shepherd,herding,,162,20054.5,no data,,11.13,,no data,,no data,,,,-,,-,,,,,,,medium,no data,no data,46,18,no data,no data,no data,-,no data,no data,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Redbone Coonhound,hound,,126,20054.5,no data,,9.73,,0,,425,,,,-,,-,,,,,,,large,no data,no data,61,24,no data,no data,no data,-,none,none,no data,,425,budget,300,700,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Schipperke,non-sporting,,105,20054.5,15,,13.0,,4,,658,,,,-,,-,,,,,,,small,no data,no data,29,11.5,Excellent,15-May,>85,36,"hair loss, diabetes, skin problems","colour dilution alopecia, Diabetes mellitus, Follicular dysplasias, Pemphigus",no data,,658,budget,300,975,no data,no data,no data,no data,,no data,13597,1046,784,121,126,244,177,200
Scottish Deerhound,hound,,142,20054.5,47,,8.7,,2,,no data,,,,-,,-,,,,,,,large,42,92.5,no data,no data,Average,25-40,>50,300,"heart problems, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus",no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,9100,1046,784,121,126,244,177,200
Sealyham Terrier,terrier,,163,20054.5,56,,12.25,,1,,no data,,,,-,,-,,,,,,,small,11,24,27,10.5,Fair,40-80,>30,12,eye problems,Retinal dysplasia,no data,,no data,no data,no data,no data,no data,no data,no data,no data,,no data,12813,1046,784,121,126,244,177,200
Shiba Inu,non-sporting,,53,20054.5,no data,,7.0,,1,,890,,,,-,,-,,,,,,,small,9,20,38,15,no data,no data,no data,3,hip problems,hip dysplasia,no data,,890,mid-price,650,1400,no data,no data,no data,no data,,no data,7322,1046,784,121,126,244,177,200
Silky Terrier,toy,,85,20054.5,37,,14.25,,0,,448,,,,-,,-,,,,,,,small,5,10,24,9.5,Above average,15-25,>70,3,none,none,no data,,448,budget,250,500,no data,no data,no data,no data,,no data,14905,1046,784,121,126,244,177,200
Skye Terrier,terrier,,164,20054.5,55,,11.0,,0,,550,,,,-,,-,,,,,,,small,18,40,25,9.75,Fair,40-80,>30,37,none,none,no data,,550,budget,500,600,no data,no data,no data,no data,,no data,11505,1046,784,121,126,244,177,200
Smooth Fox Terrier,terrier,,113,20054.5,40,,13.17,,0,,575,,,,-,,-,,,,,,,small,8,17.5,38,15,Average,25-40,>50,44,none,none,no data,,575,budget,450,750,no data,no data,no data,no data,,no data,13775,1046,784,121,126,244,177,200
Soft-Coated Wheaten Terrier,terrier,,52,20054.5,40,,12.16,,0,,832,,,,-,,-,,,,,,,medium,16,35,46,18,Average,25-40,>50,345,none,none,no data,,832,mid-price,675,1000,no data,no data,no data,no data,,no data,12719,1046,784,121,126,244,177,200
Spinone Italiano,sporting,,123,20054.5,no data,,9.0,,no data,,1725,,,,-,,-,,,,,,,large,no data,no data,62,24.5,no data,no data,no data,47,no data,no data,no data,,1725,high-end,1100,2000,no data,no data,no data,no data,,no data,9414,1046,784,121,126,244,177,200
Standard Schnauzer,working,,91,20054.5,18,,11.13,,1,,855,,,,-,,-,,,,,,,medium,no data,no data,47,18.5,Excellent,15-May,>85,-,hip problems,hip dysplasia,no data,,855,mid-price,50,1500,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Sussex Spaniel,sporting,,161,20054.5,no data,,11.17,,0,,no data,,,,2,,3,,,,,,,small,18,40,36,14,no data,no data,no data,42,none,none,no data,,no data,no data,no data,no data,5.75,4,7.5,7.67,,4471,11683,1046,784,121,126,244,177,200
Swedish Vallhund,herding,,153,22839.0,no data,,14.17,,no data,,772,,,,2,,1,,,,,,,small,no data,no data,32,12.5,no data,no data,no data,7,no data,no data,19739,,772,mid-price,550,1000,4,4,4,5.34,,3946,14821,1046,784,121,126,244,177,200
Tibetan Mastiff,working,,122,23747.0,no data,,11.92,,no data,,3460,,,,2,,1,,,,,,,large,no data,no data,64,25,no data,no data,no data,10,no data,no data,20899,,3460,high-end,800,6500,5.75,4,7.5,7.67,,4771,12468,1046,784,121,126,244,177,200
Toy Fox Terrier,toy,,101,20054.5,no data,,11.84,,no data,,460,,,,-,,-,,,,,,,small,no data,no data,25,10,no data,no data,no data,-,no data,no data,no data,,460,budget,200,650,no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
Vizsla,sporting,,37,20054.5,25,,12.5,,0,,935,,,,-,,-,,,,,,,medium,no data,no data,57,22.5,Excellent,15-May,>85,6,none,none,no data,,935,mid-price,800,1200,no data,no data,no data,no data,,no data,13074,1046,784,121,126,244,177,200
Weimaraner,sporting,,32,20054.5,21,,9.73,,1,,562,,,,2,,1,,,,,,,large,no data,no data,64,25,Excellent,15-May,>85,-,hip problems,hip dysplasia,no data,,562,budget,300,900,5.75,4,7.5,7.67,,no data,no data,1046,784,121,126,244,177,200
Welsh Terrier,terrier,,99,20054.5,53,,11.84,,0,,843,,,,2,,1,,,,,,,small,9,20,38,15,Average,25-40,>50,-,none,none,no data,,843,mid-price,575,1250,4,4,4,5.34,,no data,no data,1046,784,121,126,244,177,200
Wire Fox Terrier,terrier,,100,20054.5,51,,13.17,,0,,668,,,,-,,-,,,,,,,small,8,17.5,38,15,Average,25-40,>50,44,none,none,no data,,668,budget,175,1600,no data,no data,no data,no data,,no data,13775,1046,784,121,126,244,177,200
Wirehaired Pointing Griffon,sporting,,92,20054.5,46,,8.8,,0,,755,,,,-,,-,,,,,,,medium,no data,no data,56,22,Average,25-40,>50,16,none,none,no data,,755,mid-price,750,800,no data,no data,no data,no data,,no data,9204,1046,784,121,126,244,177,200
Xoloitzcuintli,non-sporting,,155,20054.5,no data,,11.13,,no data,,717,,,,-,,-,,,,,,,medium,no data,no data,42,16.5,no data,no data,no data,-,no data,no data,no data,,717,mid-price,300,"2,000",no data,no data,no data,no data,,no data,no data,1046,784,121,126,244,177,200
